1273068000_355052500_90,1272096800_355714600_0,right
1273138100_355093900_135,1271369300_355441400_315,right
1273054000_355036600_90,1272873400_355060200_270,left
1272927600_355204700_45,1272555500_355203300_315,left
1273126300_355129800_90,1271383400_355387700_90,left
1273059200_355028000_45,1272637200_355208600_45,left
1272968300_355061900_45,1271358100_355994800_45,equal
1272300500_355637800_270,1272575000_355391800_0,right
1273136800_355228100_225,1273069500_355218200_180,right
1272200100_355750200_135,1273086800_355165900_45,left
1272989500_355196900_90,1272496700_355123700_225,right
1272247300_355733700_90,1272227000_355645500_225,left
1273094500_355121800_225,1272654600_355061700_90,right
1271461000_355489000_135,1271394900_355531100_135,left
1272997300_354976100_225,1271452600_355969100_180,left
1271344200_355856800_0,1272093400_355717900_180,right
1271380500_356004600_270,1273015900_355015600_45,right
1273002700_355054900_90,1272484500_355061500_225,left
1273150800_355200200_45,1273124900_355013000_270,right
1271467300_355487800_315,1272185000_355726400_225,left
1271464600_355601600_180,1272487300_355195700_270,right
1273045000_355054800_135,1272667000_355102300_270,right
1273090600_355170200_315,1271343800_356135200_45,right
1271364300_355843900_270,1272104100_355488500_270,right
1272146000_355735200_135,1271478600_355398000_180,equal
1273094300_355131400_45,1271575100_355401400_270,right
1272248600_355626600_45,1272214800_355756600_45,equal
1271328500_356004600_315,1273001700_354996100_225,left
1272156000_355734700_315,1271498400_355570600_225,equal
1272896900_355071100_90,1272081900_355682700_90,left
1273061800_355198900_90,1273172700_355120000_45,left
1272082000_355641700_135,1271415100_355368500_0,right
1272619400_355139200_135,1272852700_355119000_180,equal
1273052000_355039100_135,1273015500_354969500_135,left
1273114200_355196100_90,1272901000_355082100_135,left
1271252900_355853000_180,1272985700_355265200_180,right
1273092400_355155300_90,1272994800_354980100_270,left
1272486300_355092000_90,1271266400_355997500_315,equal
1271270900_355979100_315,1272933700_355272300_225,right
1272465400_355125300_180,1272995200_355039500_135,left
1272114300_355722400_90,1273118100_355165100_90,left
1272628800_355202600_180,1271552200_355394500_225,right
1272878500_355098900_270,1272293100_355543500_315,left
1272934000_355271300_225,1272419200_355288600_90,right
1272078900_355510800_45,1272674000_355199800_315,left
1271285700_355907400_225,1273006400_355163600_180,left
1272460700_355130800_180,1271425800_355587900_45,right
1272272800_355577500_45,1272497800_355201400_315,left
1272543000_355393700_315,1272144500_355681600_180,left
1273094300_355181100_225,1271279000_356030900_90,right
1272559600_355179400_225,1272176500_355409700_180,equal
1272933700_355272300_0,1271459900_355348200_225,left
1273162100_355176200_270,1273006400_355163600_0,equal
1271439500_355416700_270,1271505600_355476700_225,right
1271497700_355420100_45,1272977100_354967900_180,right
1273086300_355222800_315,1272116200_355675200_225,right
1273008000_355053000_315,1271474700_355600900_180,left
1271525000_355531900_315,1272120600_355745100_0,right
1271461400_355504900_315,1272517100_355303300_0,right
1272121400_355668000_180,1271344200_355856800_180,left
1272888600_355096200_225,1273045600_355028600_90,equal
1273015600_355279000_135,1272276300_355519400_90,left
1273130800_355062400_90,1273115400_355094600_315,equal
1273132300_355190000_90,1271229200_356107800_270,right
1273059200_355028000_135,1273022500_355059500_45,left
1273038900_355047200_180,1273146100_355080700_315,left
1271378500_355900200_45,1272460800_355179900_270,equal
1271400900_356022800_45,1272963900_355071100_180,right
1272672600_355277600_90,1273135000_355222800_270,equal
1271450500_355432500_180,1273015900_354958400_225,left
1272484800_355060900_45,1272187600_355774700_315,left
1273118700_355241500_90,1273119900_355035500_135,equal
1272081900_355682700_270,1271367600_355468200_270,right
1272255600_355718400_315,1272496600_355122200_135,equal
1272650600_355281300_45,1272514200_355154100_180,right
1272104100_355488500_0,1271410300_355550600_225,left
1272128700_355650000_225,1271412500_355337400_180,right
1271290900_355918600_225,1273013500_354974300_45,left
1272950800_355248100_0,1273115500_355089900_270,left
1271377700_356008300_0,1272072200_355513500_0,right
1272475700_355194800_225,1272533400_355119700_0,right
1271268700_355877600_90,1271526400_355413000_315,right
1272448200_355196100_225,1271463400_355550200_315,equal
1272906400_355027200_45,1271397500_355888100_180,right
1271260000_356024500_180,1272108900_355540500_135,equal
1271555500_355578000_0,1272549800_355203100_0,right
1271537800_355579800_225,1271400900_356022800_45,right
1273069300_354970900_90,1272492900_355321900_135,equal
1273089200_355025000_90,1272279600_355641400_225,right
1272164500_355667600_90,1271381000_356098100_270,left
1273132500_355047400_135,1273023000_355211900_45,equal
1271272600_355885900_270,1272472100_355260400_0,equal
1273074900_355185300_45,1272689700_355246600_90,right
1271392900_355304200_0,1272022700_355522200_270,equal
1272666500_355325300_90,1272459900_355124700_225,right
1271622600_355509300_135,1272580100_355204300_315,equal
1271271000_356006600_45,1271394700_355298600_315,equal
1272411900_355276100_0,1271611300_355390700_135,left
1273050300_355009800_315,1272544500_355199200_270,right
1273048200_354970400_0,1272665300_355334700_225,right
1272188900_355426100_0,1271522500_355580700_135,right
1272300500_355637800_135,1272458800_355318400_180,left
1271503800_355530000_90,1272095300_355523900_135,equal
1273061800_355198900_315,1271614600_355416500_315,equal
1272999800_355293300_225,1272225500_355648900_135,equal
1271364300_355843900_0,1272093300_355427800_270,left
1271306500_356010800_225,1272994300_355189200_315,equal
1271300400_356098800_90,1272622700_355204000_270,equal
1272967500_355010100_180,1271330100_355844900_180,left
1271497500_355564300_225,1271427600_355976200_135,equal
1273005100_355277700_180,1272088400_355525700_180,equal
1272104100_355488500_270,1271618000_355431800_90,left
1273172200_355123600_0,1272188900_355722300_0,equal
1272677300_355238900_315,1272106200_355521600_180,equal
1272006500_355580600_315,1271301600_356011000_45,equal
1272906000_355026000_180,1273137400_355077300_225,equal
1273116300_355153400_315,1273022800_355043900_135,right
1272900800_355227800_0,1272059300_355480800_315,left
1272279300_355535300_180,1273026100_355002500_225,equal
1271590200_355399700_315,1273092500_355069000_270,equal
1273051700_355001000_225,1273101700_355236200_135,left
1271311400_355944200_180,1271342700_355522800_135,right
1272964500_355025700_45,1271445700_355971100_45,equal
1272893400_355093000_135,1273131900_355074500_135,left
1271381100_356087900_315,1271330100_355844900_225,equal
1272411900_355276100_315,1272252800_355629100_0,left
1272497000_355391200_315,1271335100_355913900_90,left
1272077100_355511200_135,1272606300_355165100_0,equal
1273030900_355162900_45,1271486500_355596300_45,equal
1273127600_355129500_315,1273066400_355196300_135,right
1271320300_355966900_270,1273117300_355190700_315,right
1272088700_355718200_315,1272108900_355689200_180,equal
1273105600_355112300_90,1271453400_355539700_0,left
1271436600_355454900_90,1272632800_355191600_180,left
1271272800_356067100_45,1273078900_355181000_0,right
1271327800_355976800_180,1272900400_355082700_225,equal
1271399600_355984300_315,1272040600_355691400_180,equal
1272163000_355562100_135,1272560400_355061700_45,right
1273071700_354976000_270,1271397500_355888100_45,right
1272275300_355685700_180,1273130800_355062400_315,left
1272976700_354987800_270,1271387400_355918800_270,equal
1272038400_355698500_90,1271231800_355988100_0,equal
1272098000_355453900_180,1272417100_355182500_0,left
1272041700_355520100_0,1271469800_355485600_315,left
1271411500_355527200_0,1272456500_355138400_45,equal
1271459000_355569800_45,1272901800_355087800_270,equal
1273054400_355148000_135,1271503600_355581900_0,right
1273021000_355024500_180,1271489100_355291900_45,right
1271387800_355512400_225,1273089500_355037500_0,equal
